Event	ID	Name			Wwise Object Path	Notes
	354501856	Shield_Reflect			\Default Work Unit\Shield_Reflect	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	130233522	Fast siren hi	C:\GIthub Repos\Prof_Proj_7th_Orbit\Content\Delivery_Turbo_S_Wwise_Project_Folder\.cache\Windows\SFX\Fast siren hi_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy\Sirens\Fast siren hi		952624
	136858330	Boost	C:\GIthub Repos\Prof_Proj_7th_Orbit\Content\Delivery_Turbo_S_Wwise_Project_Folder\.cache\Windows\SFX\Boost_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Boost		1413028
	180382592	police long	C:\GIthub Repos\Prof_Proj_7th_Orbit\Content\Delivery_Turbo_S_Wwise_Project_Folder\.cache\Windows\SFX\police long_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy\Sirens\police long		927928
	298664394	Air horn short	C:\GIthub Repos\Prof_Proj_7th_Orbit\Content\Delivery_Turbo_S_Wwise_Project_Folder\.cache\Windows\SFX\Air horn short_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy\Sirens\Air horn short		1421848
	332389604	Fire_2	C:\GIthub Repos\Prof_Proj_7th_Orbit\Content\Delivery_Turbo_S_Wwise_Project_Folder\.cache\Windows\SFX\Fire_2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy\Lasers\Fire\Fire_2		679204
	451595727	Charge_2	C:\GIthub Repos\Prof_Proj_7th_Orbit\Content\Delivery_Turbo_S_Wwise_Project_Folder\.cache\Windows\SFX\Charge_2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy\Lasers\Chargeup\Charge_2		1218988
	455837388	Fast siren lo	C:\GIthub Repos\Prof_Proj_7th_Orbit\Content\Delivery_Turbo_S_Wwise_Project_Folder\.cache\Windows\SFX\Fast siren lo_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy\Sirens\Fast siren lo		943804
	463505214	Siren hi	C:\GIthub Repos\Prof_Proj_7th_Orbit\Content\Delivery_Turbo_S_Wwise_Project_Folder\.cache\Windows\SFX\Siren hi_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy\Sirens\Siren hi		991432
	473232844	beef siren lo	C:\GIthub Repos\Prof_Proj_7th_Orbit\Content\Delivery_Turbo_S_Wwise_Project_Folder\.cache\Windows\SFX\beef siren lo_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy\Sirens\beef siren lo		1033768
	494377192	Charge_3	C:\GIthub Repos\Prof_Proj_7th_Orbit\Content\Delivery_Turbo_S_Wwise_Project_Folder\.cache\Windows\SFX\Charge_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy\Lasers\Chargeup\Charge_3		1218988
	511862039	Siren lo	C:\GIthub Repos\Prof_Proj_7th_Orbit\Content\Delivery_Turbo_S_Wwise_Project_Folder\.cache\Windows\SFX\Siren lo_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy\Sirens\Siren lo		1017892
	556779166	Fire_3	C:\GIthub Repos\Prof_Proj_7th_Orbit\Content\Delivery_Turbo_S_Wwise_Project_Folder\.cache\Windows\SFX\Fire_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy\Lasers\Fire\Fire_3		668620
	567191424	beef siren hi	C:\GIthub Repos\Prof_Proj_7th_Orbit\Content\Delivery_Turbo_S_Wwise_Project_Folder\.cache\Windows\SFX\beef siren hi_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy\Sirens\beef siren hi		1023184
